transaction_id,customer_id,region,category,channel,amount,quantity,discount,promo,event_date
68,1681,LATAM,grocery,mobile,75.58,5,0.120,loyalty,2024-01-08
69,2410,EMEA,fashion,mobile,75.71,5,0.101,none,2024-05-26
70,1379,EMEA,grocery,online,68.12,1,0.087,none,2024-03-07
71,1137,APAC,grocery,online,72.96,4,0.200,none,2024-10-21
72,1892,LATAM,fashion,retail,55.36,4,0.240,bundle,2024-01-13
73,2040,LATAM,electronics,retail,30.32,7,0.181,coupon,2024-11-21
74,1367,AMER,electronics,partner,93.99,5,0.104,none,2024-10-05
75,1929,LATAM,grocery,online,36.96,1,0.032,none,2024-03-16
76,2492,LATAM,home,retail,95.31,7,0.182,none,2024-11-23
77,1581,APAC,sports,retail,39.69,4,0.159,none,2024-03-22
78,1312,EMEA,grocery,online,70.59,1,0.248,none,2024-12-12
79,2311,LATAM,toys,retail,48.41,1,0.170,coupon,2024-04-24
80,1436,APAC,home,online,23.37,2,0.035,bundle,2024-05-07
81,1289,LATAM,fashion,retail,107.60,5,0.039,coupon,2024-01-24
82,2054,AMER,sports,online,37.19,2,0.039,loyalty,2024-12-20
83,1480,APAC,electronics,retail,127.31,1,0.021,coupon,2024-09-17
84,2255,AMER,home,mobile,23.65,8,0.017,none,2024-10-23
85,1626,EMEA,electronics,retail,67.19,4,0.207,bundle,2024-09-27
86,1862,LATAM,grocery,retail,50.49,2,0.085,none,2024-04-21
87,1381,LATAM,grocery,mobile,52.50,6,0.096,none,2024-08-21
88,1312,EMEA,home,retail,42.18,8,0.225,none,2024-05-14
89,2065,EMEA,fashion,online,55.62,1,0.094,bundle,2024-01-19
90,1829,EMEA,grocery,online,26.18,4,0.074,none,2024-12-04
91,2216,AMER,grocery,online,112.95,8,0.012,coupon,2024-07-24
92,1597,APAC,sports,retail,45.83,8,0.022,bundle,2024-08-11
93,1874,LATAM,electronics,online,24.47,3,0.173,bundle,2024-07-08
94,1395,APAC,sports,online,97.79,4,0.154,coupon,2024-08-16
95,1297,AMER,home,retail,40.86,3,0.138,coupon,2024-09-17
96,2434,APAC,sports,online,62.43,5,0.197,coupon,2024-08-21
97,2188,EMEA,electronics,mobile,50.66,8,0.010,none,2024-09-20
98,1974,EMEA,fashion,online,65.99,5,0.054,none,2024-12-22
99,2005,APAC,home,online,59.72,8,0.230,coupon,2024-01-16
100,1516,EMEA,home,retail,73.59,2,0.100,coupon,2024-03-27
101,2193,AMER,fashion,retail,59.88,2,0.136,bundle,2024-04-18
102,2462,EMEA,electronics,retail,36.87,1,0.023,coupon,2024-06-11
103,2095,EMEA,electronics,mobile,44.77,6,0.186,loyalty,2024-11-02
104,1314,AMER,electronics,retail,87.09,6,0.132,none,2024-04-12
105,1130,LATAM,sports,partner,25.98,8,0.232,bundle,2024-04-02
106,2252,EMEA,grocery,retail,83.06,6,0.147,none,2024-12-08
107,1964,EMEA,electronics,online,85.78,6,0.100,none,2024-04-08
108,2370,EMEA,sports,online,118.17,4,0.165,none,2024-08-17
109,2351,EMEA,grocery,retail,52.26,3,0.142,none,2024-03-06
110,1101,AMER,electronics,mobile,41.39,8,0.059,none,2024-03-08
111,2359,LATAM,grocery,online,27.31,8,0.193,coupon,2024-12-09
112,1815,APAC,electronics,online,84.91,2,0.022,bundle,2024-10-04
113,2161,LATAM,grocery,retail,59.64,6,0.088,none,2024-10-15
114,1644,EMEA,toys,retail,75.87,4,0.056,none,2024-11-10
115,2233,EMEA,electronics,online,24.83,2,0.204,loyalty,2024-11-19
116,2221,LATAM,fashion,online,21.94,7,0.008,none,2024-03-28
117,1448,EMEA,electronics,online,81.33,2,0.114,coupon,2024-03-03
118,1347,APAC,electronics,online,70.00,6,0.192,none,2024-03-03
119,1505,EMEA,grocery,online,27.00,1,0.025,bundle,2024-03-10
120,1221,LATAM,grocery,partner,105.05,7,0.001,none,2024-11-03
121,1447,LATAM,grocery,online,63.87,5,0.173,bundle,2024-08-17
122,1035,EMEA,electronics,online,62.91,5,0.139,none,2024-11-12
123,1219,LATAM,sports,online,60.73,2,0.005,none,2024-06-10
124,2075,LATAM,home,retail,39.07,7,0.180,coupon,2024-02-25
125,2134,AMER,home,online,22.31,1,0.187,none,2024-06-06
126,1304,LATAM,electronics,online,33.10,1,0.106,none,2024-07-11
127,2199,LATAM,home,online,75.90,3,0.225,none,2024-09-25
128,1237,LATAM,fashion,retail,53.91,1,0.090,none,2024-07-22
129,1079,LATAM,fashion,retail,41.52,1,0.054,none,2024-02-17
130,1640,APAC,home,online,54.35,2,0.043,none,2024-08-14
131,1679,APAC,home,online,41.75,7,0.089,none,2024-01-07
132,1748,APAC,grocery,retail,74.43,8,0.227,none,2024-10-26
133,1304,LATAM,electronics,retail,114.80,6,0.057,none,2024-07-14
134,1295,EMEA,sports,retail,55.68,4,0.199,loyalty,2024-10-04
135,2352,APAC,sports,retail,65.60,2,0.018,none,2024-07-06
136,1303,LATAM,grocery,retail,29.80,7,0.160,none,2024-08-23
137,2328,EMEA,electronics,online,57.97,7,0.068,none,2024-09-02
138,1416,EMEA,home,retail,79.15,4,0.154,coupon,2024-03-10
139,2284,EMEA,grocery,online,154.14,4,0.052,bundle,2024-02-18
140,2169,EMEA,home,mobile,86.78,7,0.019,loyalty,2024-02-10
141,1746,LATAM,fashion,online,40.17,4,0.142,none,2024-01-16
142,2171,EMEA,home,online,140.04,2,0.233,none,2024-06-22
143,1852,AMER,home,mobile,116.30,8,0.183,coupon,2024-08-02
144,1926,AMER,electronics,retail,83.34,7,0.250,bundle,2024-10-05
145,1118,AMER,grocery,online,52.47,5,0.220,none,2024-06-11
146,1135,APAC,home,online,51.71,4,0.127,coupon,2024-02-27
147,1789,EMEA,electronics,online,80.20,6,0.125,loyalty,2024-10-22
148,1610,LATAM,electronics,online,84.03,5,0.119,loyalty,2024-07-16
149,1639,APAC,grocery,mobile,110.98,1,0.219,none,2024-12-08
150,1777,AMER,fashion,retail,80.53,7,0.012,none,2024-08-02
151,1227,AMER,grocery,retail,33.66,6,0.051,none,2024-05-13
152,1364,EMEA,electronics,online,48.33,1,0.015,none,2024-04-28
153,1787,APAC,grocery,retail,41.58,2,0.164,none,2024-03-01
154,2168,EMEA,fashion,online,29.83,4,0.115,none,2024-08-11
155,2394,EMEA,fashion,retail,168.24,6,0.072,coupon,2024-10-01
156,1714,APAC,grocery,online,89.18,5,0.064,coupon,2024-08-16
157,1459,LATAM,electronics,online,18.44,2,0.186,none,2024-05-05
158,1466,AMER,grocery,mobile,29.06,7,0.135,none,2024-10-06
159,1763,LATAM,electronics,online,64.77,7,0.006,bundle,2024-05-28
160,1674,LATAM,electronics,online,47.41,6,0.048,none,2024-07-13
161,1494,AMER,grocery,mobile,51.37,7,0.005,none,2024-05-19
162,1537,LATAM,home,retail,37.16,8,0.066,none,2024-01-24
163,1669,AMER,electronics,mobile,67.99,1,0.061,none,2024-12-17
164,1606,AMER,grocery,retail,55.92,6,0.105,bundle,2024-02-16
165,2285,APAC,grocery,online,34.59,1,0.209,none,2024-09-06
166,1443,EMEA,grocery,online,33.05,3,0.053,none,2024-09-25
167,2014,EMEA,sports,mobile,84.23,8,0.115,none,2024-04-06
168,1838,AMER,toys,online,126.03,4,0.109,none,2024-11-05
169,1746,LATAM,sports,online,64.21,5,0.166,bundle,2024-06-21
170,1045,LATAM,sports,mobile,110.52,2,0.014,loyalty,2024-12-05
171,1290,EMEA,sports,retail,26.26,5,0.128,none,2024-02-12
172,2366,APAC,toys,mobile,58.77,4,0.222,none,2024-06-23
173,2194,APAC,grocery,online,49.37,5,0.067,none,2024-08-06
174,1035,EMEA,home,online,73.55,5,0.036,bundle,2024-02-13
175,2479,EMEA,electronics,mobile,84.62,4,0.000,none,2024-02-08
176,1783,AMER,grocery,online,62.59,4,0.036,none,2024-09-24
177,1493,APAC,home,retail,38.13,8,0.108,none,2024-07-06
178,2059,AMER,sports,online,98.81,5,0.098,none,2024-04-14
179,2368,AMER,fashion,retail,77.59,6,0.161,none,2024-12-14
180,1094,LATAM,grocery,online,116.77,6,0.058,none,2024-01-06
181,1618,EMEA,grocery,retail,72.52,7,0.099,none,2024-08-01
182,2051,APAC,fashion,retail,47.25,8,0.217,loyalty,2024-05-24
183,1524,LATAM,grocery,retail,41.47,8,0.019,none,2024-01-03
184,2442,APAC,sports,online,142.67,7,0.026,none,2024-09-04
185,1226,AMER,fashion,retail,147.69,7,0.220,none,2024-03-25
186,2088,EMEA,home,mobile,75.25,1,0.078,none,2024-02-03
187,1902,AMER,electronics,online,93.22,1,0.137,none,2024-01-07
188,2494,AMER,grocery,online,79.76,2,0.030,none,2024-08-14
189,2419,LATAM,electronics,online,40.82,3,0.015,none,2024-11-16
190,1335,APAC,fashion,online,40.18,7,0.019,coupon,2024-05-18
191,1625,EMEA,grocery,online,102.64,6,0.209,coupon,2024-06-05
192,2371,LATAM,electronics,online,102.57,1,0.096,bundle,2024-06-01
193,1078,APAC,fashion,mobile,35.72,4,0.064,none,2024-05-12
194,1821,LATAM,home,retail,40.55,6,0.247,bundle,2024-12-05
195,1476,APAC,electronics,online,43.34,2,0.076,bundle,2024-05-10
196,2252,EMEA,grocery,online,78.31,5,0.029,none,2024-08-27
197,1972,LATAM,toys,mobile,68.26,6,0.164,none,2024-06-24
198,1453,APAC,home,retail,65.04,8,0.009,bundle,2024-09-16
199,2223,EMEA,grocery,retail,51.75,7,0.131,none,2024-03-19
200,1255,AMER,grocery,partner,92.85,8,0.203,coupon,2024-11-10
201,1419,APAC,grocery,partner,24.47,6,0.167,coupon,2024-07-28
202,1186,APAC,electronics,partner,34.69,5,0.082,none,2024-03-08
203,2265,APAC,sports,online,61.83,8,0.130,none,2024-02-22
204,2442,APAC,home,online,98.33,7,0.229,bundle,2024-12-18
205,1014,EMEA,grocery,retail,57.95,5,0.075,none,2024-04-03
206,1780,APAC,fashion,retail,86.64,2,0.090,none,2024-09-06
207,1668,AMER,electronics,retail,45.57,4,0.241,bundle,2024-05-09
208,2478,AMER,electronics,online,66.97,5,0.163,loyalty,2024-06-26
209,1544,LATAM,fashion,retail,35.62,4,0.217,none,2024-11-16
210,1446,AMER,home,online,58.56,4,0.019,coupon,2024-04-09
211,2182,AMER,toys,retail,84.31,6,0.169,none,2024-01-02
212,1128,LATAM,home,online,23.78,1,0.211,none,2024-10-19
213,1204,AMER,home,retail,60.95,5,0.243,none,2024-08-19
214,1216,APAC,grocery,retail,60.34,7,0.035,bundle,2024-02-17
215,2056,LATAM,electronics,retail,29.97,7,0.018,coupon,2024-08-03
216,2411,EMEA,fashion,retail,19.44,1,0.115,loyalty,2024-09-15
217,2127,LATAM,toys,online,158.17,2,0.116,none,2024-10-01
218,2324,AMER,electronics,online,24.80,6,0.079,coupon,2024-06-13
219,1598,EMEA,grocery,retail,40.92,1,0.223,coupon,2024-01-15
220,2085,AMER,home,mobile,44.13,3,0.149,loyalty,2024-05-24
221,1274,LATAM,fashion,retail,83.28,5,0.214,bundle,2024-09-13
222,1275,EMEA,grocery,retail,72.46,2,0.242,none,2024-09-24
223,1459,LATAM,toys,online,47.26,8,0.200,loyalty,2024-02-10
224,1789,EMEA,electronics,online,38.77,5,0.243,coupon,2024-04-24
225,1022,APAC,toys,mobile,29.97,3,0.030,none,2024-11-13
226,2360,EMEA,home,retail,60.14,2,0.029,none,2024-10-28
227,1983,LATAM,toys,online,80.81,1,0.069,coupon,2024-08-27
228,1611,EMEA,sports,online,72.20,6,0.022,coupon,2024-04-10
229,1485,APAC,home,online,75.05,2,0.210,bundle,2024-10-08
230,1908,AMER,home,retail,60.10,6,0.200,coupon,2024-12-28
231,2395,APAC,sports,mobile,72.60,8,0.025,bundle,2024-04-07
232,1307,AMER,fashion,online,66.35,1,0.035,coupon,2024-06-11
233,2365,LATAM,fashion,retail,31.08,2,0.085,none,2024-10-05
234,1776,APAC,electronics,online,111.32,5,0.070,bundle,2024-09-09
235,2162,EMEA,toys,retail,32.65,4,0.199,coupon,2024-03-24
236,1589,AMER,electronics,online,77.28,4,0.029,bundle,2024-06-21
237,1553,LATAM,sports,retail,43.33,7,0.016,bundle,2024-05-06
238,2047,AMER,home,online,67.13,5,0.139,none,2024-11-15
239,1642,EMEA,sports,retail,25.65,5,0.122,none,2024-05-21
240,2336,APAC,electronics,online,116.42,3,0.240,none,2024-07-11
241,2236,APAC,sports,retail,40.85,4,0.220,none,2024-07-19
242,2017,EMEA,electronics,online,65.14,7,0.052,loyalty,2024-04-28
243,1405,LATAM,electronics,retail,46.37,4,0.177,bundle,2024-08-07
244,2425,APAC,toys,online,112.97,6,0.148,none,2024-05-02
245,2253,AMER,electronics,online,40.87,7,0.185,bundle,2024-08-26
246,1602,EMEA,grocery,online,72.63,8,0.121,loyalty,2024-04-14
247,1069,APAC,grocery,online,71.43,1,0.250,loyalty,2024-03-04
248,2382,LATAM,home,partner,55.03,5,0.090,none,2024-11-13
249,1995,LATAM,sports,online,49.43,6,0.129,loyalty,2024-12-28
250,1596,EMEA,grocery,partner,23.08,3,0.218,none,2024-06-08
251,1411,LATAM,sports,mobile,104.60,6,0.052,coupon,2024-06-25
252,2008,APAC,fashion,partner,36.16,1,0.131,none,2024-06-28
253,1797,LATAM,toys,online,67.10,3,0.133,none,2024-10-18
254,2254,LATAM,home,mobile,54.96,7,0.069,none,2024-03-28
255,1973,EMEA,grocery,online,31.56,4,0.161,coupon,2024-10-27
256,2436,LATAM,electronics,retail,85.49,7,0.161,coupon,2024-01-01
257,1097,EMEA,grocery,online,25.31,1,0.112,none,2024-06-13
258,1074,LATAM,grocery,retail,46.37,6,0.110,none,2024-02-01
259,1413,LATAM,home,online,30.89,7,0.135,loyalty,2024-04-28
260,1927,EMEA,home,online,29.95,4,0.146,none,2024-10-20
261,2457,EMEA,fashion,retail,114.41,2,0.118,bundle,2024-12-09
262,2422,APAC,toys,retail,65.40,8,0.212,coupon,2024-03-11
263,1985,AMER,electronics,mobile,80.74,4,0.245,none,2024-05-22
264,1674,LATAM,grocery,online,136.94,2,0.184,none,2024-08-22
265,1814,AMER,toys,retail,42.78,6,0.048,none,2024-02-03
266,2275,LATAM,grocery,mobile,22.31,8,0.043,bundle,2024-01-27
267,2079,EMEA,grocery,online,75.66,4,0.149,none,2024-12-27
268,1946,AMER,electronics,retail,89.39,5,0.210,loyalty,2024-04-23
269,1971,EMEA,grocery,mobile,36.37,6,0.159,none,2024-09-14
270,1658,AMER,grocery,online,150.87,5,0.128,loyalty,2024-11-22
271,2108,AMER,electronics,online,14.50,4,0.141,none,2024-07-13
272,1252,APAC,fashion,retail,53.87,2,0.150,loyalty,2024-06-12
273,1137,APAC,electronics,online,90.62,4,0.230,coupon,2024-07-14
274,2434,APAC,grocery,mobile,88.50,1,0.023,coupon,2024-05-17
275,1411,LATAM,toys,online,126.54,2,0.142,coupon,2024-10-24
276,2025,EMEA,sports,online,101.10,7,0.184,none,2024-10-07
277,2317,LATAM,sports,mobile,35.53,2,0.187,loyalty,2024-02-22
278,2477,APAC,home,online,87.72,1,0.034,loyalty,2024-08-09
279,1260,LATAM,grocery,online,26.90,4,0.108,bundle,2024-06-23
280,2350,APAC,sports,retail,86.41,5,0.068,loyalty,2024-04-18
281,1953,EMEA,sports,online,90.11,7,0.100,none,2024-01-21
282,2080,LATAM,toys,online,47.61,1,0.240,coupon,2024-07-08
283,2401,LATAM,grocery,mobile,46.60,6,0.006,none,2024-04-21
284,2149,EMEA,grocery,online,23.47,3,0.232,none,2024-04-16
285,2281,AMER,electronics,online,43.98,4,0.185,none,2024-12-05
286,2379,AMER,fashion,retail,26.23,4,0.058,none,2024-03-19
287,1435,AMER,fashion,mobile,60.09,8,0.091,bundle,2024-04-23
288,2057,APAC,home,retail,79.62,3,0.219,none,2024-01-26
289,1029,EMEA,home,retail,75.09,6,0.170,none,2024-02-24
290,1000,APAC,sports,retail,46.15,5,0.108,none,2024-12-12
291,2309,AMER,sports,online,44.44,1,0.002,coupon,2024-08-01
292,1845,AMER,electronics,mobile,33.81,1,0.085,none,2024-08-06
293,1374,APAC,grocery,online,85.39,4,0.244,bundle,2024-04-21
294,2335,EMEA,home,retail,61.46,4,0.069,bundle,2024-07-03
295,2207,APAC,grocery,online,40.02,3,0.186,none,2024-11-03
296,2222,LATAM,sports,online,46.36,8,0.249,bundle,2024-10-11
297,1181,LATAM,toys,partner,94.33,3,0.049,none,2024-03-17
298,2425,APAC,toys,mobile,44.38,6,0.192,none,2024-01-04
299,1450,EMEA,fashion,online,88.74,5,0.200,none,2024-07-15
300,2279,LATAM,grocery,online,47.69,6,0.035,loyalty,2024-02-19
301,2370,EMEA,fashion,online,21.79,7,0.065,coupon,2024-04-26
302,1672,APAC,sports,online,78.32,6,0.238,none,2024-09-24
303,1727,APAC,home,online,95.78,7,0.008,bundle,2024-05-14
304,1791,LATAM,grocery,online,36.75,6,0.124,none,2024-05-04
305,2401,LATAM,fashion,retail,19.33,1,0.004,coupon,2024-03-24
306,1437,EMEA,fashion,online,35.54,4,0.012,none,2024-02-09
307,2493,APAC,electronics,retail,38.69,1,0.142,loyalty,2024-07-15
308,2175,AMER,sports,retail,48.89,7,0.162,none,2024-10-02
309,2132,LATAM,grocery,online,93.27,2,0.161,none,2024-02-19
310,1876,LATAM,sports,online,72.23,1,0.123,bundle,2024-03-21
311,1199,APAC,electronics,online,104.10,5,0.076,none,2024-02-09
312,1075,AMER,sports,retail,50.64,8,0.198,none,2024-03-11
313,2490,AMER,electronics,online,102.48,6,0.248,none,2024-05-11
314,2339,AMER,electronics,mobile,48.90,3,0.121,coupon,2024-06-27
315,2465,EMEA,sports,mobile,23.99,7,0.165,none,2024-01-10
316,2260,EMEA,grocery,mobile,16.77,4,0.061,loyalty,2024-04-04
317,2440,APAC,toys,retail,93.12,2,0.199,bundle,2024-06-16
318,1835,AMER,fashion,online,51.56,5,0.157,none,2024-09-26
319,1494,AMER,grocery,retail,57.81,8,0.104,none,2024-07-11
320,1514,LATAM,grocery,retail,34.29,2,0.010,coupon,2024-05-28
321,1544,LATAM,sports,retail,34.43,1,0.120,none,2024-09-14
322,1067,APAC,home,online,102.46,5,0.034,none,2024-10-05
323,1919,EMEA,grocery,retail,30.32,3,0.047,bundle,2024-03-11
324,1876,LATAM,toys,retail,46.70,6,0.011,bundle,2024-03-05
325,1469,EMEA,home,partner,54.83,3,0.086,none,2024-11-02
326,1198,AMER,fashion,online,113.24,7,0.068,bundle,2024-07-06
327,1947,EMEA,electronics,retail,22.20,8,0.150,coupon,2024-09-06
328,1973,EMEA,home,online,64.93,4,0.056,none,2024-12-28
329,1566,EMEA,electronics,retail,70.80,5,0.042,none,2024-11-21
330,1939,LATAM,toys,mobile,59.67,3,0.126,coupon,2024-10-14
331,1002,EMEA,grocery,online,37.48,1,0.155,none,2024-12-11
332,1849,EMEA,electronics,retail,42.37,4,0.076,none,2024-02-28
333,1796,LATAM,electronics,online,45.25,4,0.216,none,2024-11-17
334,2311,LATAM,grocery,online,49.85,8,0.117,none,2024-01-24
335,1637,APAC,toys,retail,36.23,2,0.081,none,2024-12-03
336,1748,APAC,toys,retail,157.87,5,0.042,none,2024-06-05
337,1811,APAC,grocery,mobile,79.07,2,0.224,bundle,2024-03-06
338,1360,APAC,home,online,161.27,6,0.128,coupon,2024-08-05
339,1735,LATAM,home,online,83.91,6,0.196,none,2024-05-20
340,2490,AMER,home,retail,86.20,6,0.247,coupon,2024-04-05
341,2262,APAC,fashion,mobile,82.04,2,0.243,none,2024-06-09
342,2348,EMEA,home,online,122.87,2,0.235,none,2024-05-18
343,2132,LATAM,home,retail,61.43,3,0.066,loyalty,2024-05-02
344,1756,EMEA,grocery,retail,71.60,5,0.118,coupon,2024-02-01
345,1521,LATAM,toys,online,59.80,5,0.168,none,2024-06-08
346,2349,APAC,grocery,retail,73.21,2,0.099,none,2024-09-25
347,1955,AMER,electronics,retail,110.82,6,0.152,none,2024-06-16
348,2146,APAC,toys,retail,52.78,4,0.026,none,2024-11-04
349,2486,APAC,fashion,mobile,62.29,4,0.079,coupon,2024-03-22
350,2171,EMEA,electronics,online,30.58,5,0.141,bundle,2024-03-17
351,1729,AMER,sports,mobile,43.41,5,0.176,none,2024-01-22
352,2312,APAC,grocery,online,43.11,3,0.031,none,2024-10-11
353,1466,AMER,toys,online,26.18,2,0.214,none,2024-04-11
354,1033,APAC,electronics,online,43.19,3,0.092,none,2024-03-23
355,1581,APAC,grocery,retail,28.46,8,0.125,bundle,2024-11-11
356,1515,EMEA,toys,online,56.64,1,0.233,bundle,2024-11-10
357,1629,LATAM,grocery,online,77.36,2,0.212,none,2024-09-13
358,1053,AMER,fashion,retail,64.03,7,0.225,none,2024-02-16
359,2194,APAC,sports,mobile,49.25,5,0.229,none,2024-08-15
360,1736,AMER,home,online,125.59,4,0.199,none,2024-03-15
361,1370,APAC,home,mobile,43.48,3,0.088,loyalty,2024-09-19
362,2206,AMER,fashion,mobile,42.16,8,0.018,none,2024-09-11
363,2215,LATAM,toys,online,46.05,8,0.161,loyalty,2024-11-22
364,1499,EMEA,home,online,52.27,1,0.193,none,2024-07-05
365,1960,EMEA,electronics,online,55.12,4,0.002,loyalty,2024-04-01
366,1093,APAC,electronics,retail,40.72,4,0.124,none,2024-02-15
367,2418,AMER,fashion,mobile,43.57,1,0.058,none,2024-09-03
368,1897,AMER,electronics,retail,41.78,6,0.043,coupon,2024-05-02
369,2382,LATAM,home,mobile,104.98,6,0.124,none,2024-08-24
370,2034,LATAM,electronics,retail,101.84,4,0.004,none,2024-01-10
371,1831,APAC,home,online,50.00,7,0.188,loyalty,2024-01-04
372,2376,LATAM,toys,partner,108.99,6,0.215,coupon,2024-01-12
373,2204,AMER,grocery,retail,57.19,6,0.063,none,2024-07-18
374,1072,LATAM,home,retail,90.04,1,0.222,bundle,2024-04-28
375,1708,LATAM,grocery,online,101.01,2,0.129,none,2024-01-27
376,1706,EMEA,electronics,online,58.80,5,0.221,none,2024-12-18
377,1343,LATAM,sports,online,17.04,1,0.086,none,2024-05-06
378,1109,APAC,grocery,mobile,136.77,8,0.209,none,2024-09-03
379,1952,EMEA,fashion,online,49.99,8,0.139,none,2024-06-20
380,2473,EMEA,home,online,93.91,7,0.054,none,2024-09-01
381,1215,LATAM,grocery,mobile,33.74,6,0.149,none,2024-03-01
382,1357,EMEA,fashion,online,27.31,7,0.080,loyalty,2024-04-18
383,2079,EMEA,sports,retail,128.21,3,0.062,none,2024-07-22
384,1828,EMEA,home,mobile,62.65,5,0.140,none,2024-11-09
385,2018,AMER,fashion,online,58.06,1,0.149,none,2024-09-06
386,1978,AMER,home,retail,79.97,4,0.035,coupon,2024-07-05
387,2316,EMEA,fashion,online,37.38,6,0.207,none,2024-05-08
388,1270,LATAM,grocery,retail,63.76,8,0.089,coupon,2024-03-13
389,1305,EMEA,fashion,retail,76.68,1,0.190,coupon,2024-02-15
390,1100,AMER,sports,retail,49.39,1,0.138,none,2024-10-26
391,2333,APAC,home,retail,22.94,6,0.154,coupon,2024-11-26
